clean,created_at,extended_tweet.full_text,id,text
what??? I am too dumb to understand 😔 but hey atleast I am skinny 😌 ,Sun Mar 21 18:34:48 +0000 2021,,1.37E+18,what??? im too dumb to understand 😔 but hey atleast im skinny 😌 https://t.co/EKMHsSqPQ3
"On my 37th birthday, last June. 😌 ",Sun Mar 21 18:34:48 +0000 2021,,1.37E+18,"@ShESavag3 On my 37th birthday, last June. 😌 https://t.co/JC4AyAwefm"
"Y'll are the ones that put out the fantastic record, I just enjoy listening to it and want to support my friends 😌",Sun Mar 21 18:34:49 +0000 2021,,1.37E+18,"@BicycleInn Y'll are the ones that put out the fantastic record, I just enjoy listening to it and want to support my friends 😌"
"ANYWAYS, cleansing the tl with manbun wyb 😌 ",Sun Mar 21 18:34:50 +0000 2021,,1.37E+18,"RT @pinkcarnationss: ANYWAYS, cleansing the tl with manbun wyb 😌 https://t.co/9SmP5sWwts"
my man never ages 😌,Sun Mar 21 18:34:51 +0000 2021,,1.37E+18,@Lawrusso_Rights @80S_MALFOY my man never ages 😌
ofc he is the goat 😌,Sun Mar 21 18:34:52 +0000 2021,,1.37E+18,@Maine_aditu ofc he's the goat 😌
I looked so cute today 😌 ,Sun Mar 21 18:34:52 +0000 2021,,1.37E+18,RT @africajpg: I looked so cute today 😌 https://t.co/d4HKqiM7FW
"At The Lake Wit The Doors Open , Music Blasting &amp;’ UNO Deep Of Course .. I Love It , #MeTime 😌",Sun Mar 21 18:34:53 +0000 2021,,1.37E+18,"At The Lake Wit The Doors Open , Music Blasting &amp;’ UNO Deep Of Course .. I Love It , #MeTime 😌"
Lol preciate the love. Just a lil sumn. Been a while. 😌 ,Sun Mar 21 18:34:53 +0000 2021,,1.37E+18,@markgsheppard Lol preciate the love. Just a lil sumn. Been a while. 😌 https://t.co/L4wUwEzOpc
Lo bhai  Tathastu  Sher hain sher  G. of. A. T Greatest of all time 😌 #SidharthShukla ,Sun Mar 21 18:34:54 +0000 2021,,1.37E+18,"RT @Suchisri2: Lo bhai 
Tathastu 
Sher hain sher 
G. O. A. T
Greatest of all time 😌
#SidharthShukla https://t.co/l9zzufrFXQ"
Just ordered a pride flag 😌,Sun Mar 21 18:34:55 +0000 2021,,1.37E+18,Just ordered a pride flag 😌
“... with joy!” 😌 ,Sun Mar 21 18:34:56 +0000 2021,,1.37E+18,RT @iefamharris: “... with joy!” 😌 https://t.co/85wwNgAMjz
I dey shy 😌,Sun Mar 21 18:34:57 +0000 2021,,1.37E+18,@BeckleyIfeoluwa I dey shy 😌
#quanyin  😌 is shixiong back yet ? ,Sun Mar 21 18:34:58 +0000 2021,,1.37E+18,"RT @_lycheeluv: #quanyin

😌 is shixiong back yet ? https://t.co/g9AGB2Fpl3"
s/of your gf too man ...  (I am busy cooking here with my mom)  so tell her to behave 😌,Sun Mar 21 18:34:58 +0000 2021,,1.37E+18,"s/o your gf too man ...

(im busy cooking here with my mom)

so tell her to behave 😌"
"almost CA Aadarsh*  same thing, we know you will clear that 😌",Sun Mar 21 18:35:01 +0000 2021,,1.37E+18,"@aadarshf1 almost CA Aadarsh* 
same thing, we know you'll clear that 😌"
there is always next time Kat. 😌,Sun Mar 21 18:35:01 +0000 2021,,1.37E+18,@KatWeegee There’s always next time Kat. 😌
"I am a simple woman. i see other pretty blk women, i retweet. 😌",Sun Mar 21 18:35:03 +0000 2021,,1.37E+18,"i’m a simple woman. i see other pretty blk women, i retweet. 😌"
All women*,Sun Mar 21 18:35:03 +0000 2021,,1.37E+18,All women*
"I wish someone wanted me 😪 but nope it is me, Mr. Undesirable 😌",Sun Mar 21 18:35:04 +0000 2021,,1.37E+18,"I wish someone wanted me 😪 but nope it’s me, Mr. Undesirable 😌"
CAN YOU SEND ME ONE OF YOUR POEMS 😌,Sun Mar 21 18:35:04 +0000 2021,,1.37E+18,CAN YOU SEND ME ONE OF YOUR POEMS 😌
"She got my front I got her back , it is always been like that 😌 really my bitch no lie , she the type you got to wife ...",Sun Mar 21 18:35:04 +0000 2021,,1.37E+18,"She got my front I got her back , it’s always been like that 😌 really my bitch no lie , she the type you gotta wife ..."
